word,color,congruency,corr_ans
CZERWONY,red,congruent,left
ZIELONY,green,congruent,down
NIEBIESKI,blue,congruent,right
CZERWONY,red,congruent,left
ZIELONY,green,congruent,down
NIEBIESKI,blue,congruent,right
CZERWONY,red,congruent,left
ZIELONY,green,congruent,down
NIEBIESKI,blue,congruent,right
CZERWONY,red,congruent,left
ZIELONY,green,congruent,down
NIEBIESKI,blue,congruent,right
CZERWONY,red,congruent,left
ZIELONY,green,congruent,down
NIEBIESKI,blue,congruent,right
CZERWONY,red,congruent,left
ZIELONY,blue,incongruent,right
NIEBIESKI,red,incongruent,left
CZERWONY,green,incongruent,down
ZIELONY,red,incongruent,left
NIEBIESKI,green,incongruent,down
CZERWONY,blue,incongruent,right
ZIELONY,blue,incongruent,right
NIEBIESKI,red,incongruent,left
CZERWONY,green,incongruent,down
ZIELONY,red,incongruent,left
NIEBIESKI,green,incongruent,down
CZERWONY,blue,incongruent,right
ZIELONY,blue,incongruent,right
NIEBIESKI,red,incongruent,left
CZERWONY,green,incongruent,down
ZIELONY,red,incongruent,left
MALINA,red,neutral,left
RAKIETA,green,neutral,down
ZABAWA,blue,neutral,right
FANTAZJA,red,neutral,left
PARASOL,green,neutral,down
POGODA,blue,neutral,right
TELEFON,red,neutral,left
PAPUGA,green,neutral,down
LATARKA,blue,neutral,right
MALINA,red,neutral,left
RAKIETA,green,neutral,down
ZABAWA,blue,neutral,right
FANTAZJA,red,neutral,left
PARASOL,green,neutral,down
POGODA,blue,neutral,right
TELEFON,red,neutral,left
PAPUGA,green,neutral,down
LATARKA,blue,neutral,right
